,NOM,FORMAT,#catalogue1,#catalogue2,fournisseur2,fournisseur1,prix
anticorps&autres,M-MLV reverse transcriptase,4000units,28025-013,52185,GRM,Invitrogen,148.63
anticorps&autres,Nhe I,300 u,15444-011,,,Invitrogen,41.2
anticorps&autres,Nhe I,300 u,15444-045,,,Invitrogen,41.2
anticorps&autres,NotI,1000U,15441-017,3020605,GRM,Invitrogen,90.2
anticorps&autres,Oligo(dT)12–18,25ug,18418-012,3003632,GRM,Invitrogen,111.73
anticorps&autres,Oligo(dT)20 Primer,15 ug,18418-020,,,Invitrogen,184.5
anticorps&autres,Onw Shot GeneHogs Electrocomp E. coli,20 shots,C8080-03,,,Invitrogen,410.72
anticorps&autres,opti MEM,500 ml,31985-070,3018423,GRM,Invitrogen,30.75
anticorps&autres,PBS 10X,10x500ml,70013-032,52168,GRM,Invitrogen,41.25
anticorps&autres,PBS 1X 7.2,500ml,20012-027,,,Invitrogen,19.73
anticorps&autres,PBS 1X pH 7.2,10 x 500 ml,20012-050,3029731,GRM,Invitrogen,59.45
anticorps&autres,pcDNA3.1/hygro+,,V87020,,,Invitrogen,492.35
anticorps&autres,pCR®8/GW/TOPO® TA Cloning Kit with One Shot® TOP10 Chemically Competent E. coli,20 rxn,K2500-20,,,Invitrogen,378.3
anticorps&autres,Peniciline stretomycine,100 ml,15140-122,,,Invitrogen,11
anticorps&autres,Plasmid Midi,50RXNS,K2100-05,12143,GRM,Invitrogen,199.5
anticorps&autres,Platinum Quantitative PCR SuperMix-UDG,500,11730-025,,,Invitrogen,1157.8
anticorps&autres,Platinum Taq DNA Polymerase High Fidelity,100 rxns,11304-011,3015311,GRM,Invitrogen,122
anticorps&autres,Platinum® Taq DNA Polymerase High Fidelity,500 rxns,11304-029,3029127,GRM,Invitrogen,470
anticorps&autres,ProLong Antifade Mounting Media,,P7481,3026247,GRM,Invitrogen,197.93
anticorps&autres,Propidium iodide,,P3566,3025025,GRM,Invitrogen,54.1
anticorps&autres,Protéinase K,100mg,25530-015,52186,GRM,Invitrogen,88.61
anticorps&autres,PstI,5000U,15215-023,,,Invitrogen,36.08
anticorps&autres,Pure Link HiPure Plasmid Maxiprep Kit,25,K2100-07,,,Invitrogen,465
anticorps&autres,Random Primers,100ul,48190-011,67837,GRM,Invitrogen,169.13
anticorps&autres,RNA Ladder,75 ug,15620-016,300004,GRM,Invitrogen,144.53
anticorps&autres,RNaseOUT™ Recombinant Ribonuclease Inhibitor,"5,000 units",10777-019,67162,GRM,Invitrogen,64.58
anticorps&autres,S2 Cells,,10831-014,,,Invitrogen,0
anticorps&autres,Sal I,1000 u,15217-011,,,Invitrogen,28.5
anticorps&autres,SF900,1L/Bouteille,10902-088,,,Invitrogen,39
anticorps&autres,sodium pyruvate,100 ml - 1 bouteille,11360-070,87795,GRM,Invitrogen,10.15
anticorps&autres,Sph I,200 u,15413-016,,,Invitrogen,61.5
anticorps&autres,Streptavidin R-phycoerythrin conjugate premium grade,1ml,S21388,,,Invitrogen,559.75
anticorps&autres,streptavidin-APC,250 ul,S32362,,,Invitrogen,526.4
anticorps&autres,Stu I,500 u,15438-013,52237,GRM,Invitrogen,22.3
anticorps&autres,SuperScript™ First-Strand Synthesis System for RT-PCR,50 rxns,11904-018,3001251,GRM,Invitrogen,473.55
anticorps&autres,Superscript II reverse transcriptase,2000 u,18064-022,,,Invitrogen,59.4
anticorps&autres,SuperScript™ II Reverse Transcriptase,10000 u,18064-014,52214,GRM,Invitrogen,179
anticorps&autres,Superscript III one-step RT-PCR,25 reaction,12574-030,,,Invitrogen,256.25
anticorps&autres,SuperScript™ III One-Step RT-PCR System with Platinum® Taq (100 rxns),,12574-026,,,Invitrogen,700
anticorps&autres,SuperScript III Reverse Transcriptase,"10,000 units",18080-044,,,Invitrogen,234.85
anticorps&autres,SuperScript™ III RT,"2,000 units",18080-093,,,Invitrogen,52.25
anticorps&autres,Superscript one step RT PCR system for long template,100 reactions,11922-028,,,Invitrogen,681.47
anticorps&autres,"SYBR® Green I nucleic acid gel stain - 10,000X concentrate in DMSO, 500 µL",500 ul,S7563,,,Invitrogen,205
anticorps&autres,T4 DNA ligase,500,15224-025,3012696,GRM,Invitrogen,117.88
anticorps&autres,Taq DNA Polymerase,500U,18038-042,52191,GRM,Invitrogen,137.35
anticorps&autres,"Taq DNA Polymerase, Recombinant",500 units,10342-020,,,Invitrogen,211.1
anticorps&autres,ThermoScript™ Reverse Transcriptase,375 units,12236-014,3028134,GRM,Invitrogen,148.11
anticorps&autres,ThermoScript™ Reverse Transcriptase,"1,500 units",12236-022,,,Invitrogen,632.55
anticorps&autres,ThermoScript™ RT-PCR System for First-Strand cDNA Synthesis,100,11146-016,,,Invitrogen,643.95
anticorps&autres,topo cloning kit,,K2800-20,,,Invitrogen,587.1
anticorps&autres,Topo Cloning Kit,20 reactions,K4600-01,,,Invitrogen,340
anticorps&autres,TOPO PCR2.1 cloning kit,1,K4530-20,,,Invitrogen,535
anticorps&autres,TOPO TA Cloning Kit  For Sequencing,40 rxn,K4575-40,3024704,GRM,Invitrogen,967.26
anticorps&autres,TOPO TA Cloning® Kit for Sequencing with One Shot® TOP10 Chemically Competent E. coli,20 rxn,K4575-01,3028043,GRM,Invitrogen,566.79
anticorps&autres,Tris,1kg,15504-020,,,Invitrogen,54.8
anticorps&autres,TRIzol reagent,200ml,15960-018,,,Invitrogen,220
anticorps&autres,Trypan Blue Stain 0.4%,100 ml,15250-061,88662,GRM,Invitrogen,11.28
anticorps&autres,Trypsin 2.5%,100 ml,15090-046,,,Invitrogen,11.2
anticorps&autres,Xho I,10000 u,15231-020,,,Invitrogen,83.75
anticorps&autres,XhoI,2500U,15231-012,52183,GRM,Invitrogen,28.96
anticorps&autres,Yeast Extract Solution,Solution,18180-059,,,Invitrogen,38.9
anticorps&autres,zeocin,1g,R250-01,,,Invitrogen,340.85
four. labo,Adaptor for dual position,1,GF-F144878/1,, ,mandel scientific,4
four. labo,Anneau ( Rubber ) de friction,1,GF-61837-1,,,mandel scientific,8
plastique,Couvert Plastique UV,,NL-U-1000-SC,,Labnet International,mandel scientific,239
four. labo,Ejecteur de cones en metal-P10,1,F-144877-1,,,mandel scientific,6
four. labo,Kit de pipette,,GF-F167300,GF-F167300,Gilson,mandel scientific,999
plastique,nylon screw cap,,03614,,Sorvall,mandel scientific,161
four. labo,Pipetman 8 channel (8x200),,GF61004,,Gilson,mandel scientific,798
four. labo,"pipetman P-10, gilson",,GF-F144802,,,mandel scientific,489
four. labo,Pipetman P2,P2,GF-F144801,,,mandel scientific,426.55
four. labo,polycarbonate oak ridge bottle,,03719,,Sorvall,mandel scientific,161
four. labo,Seal Teflon (P20),,GF-F161818/1,,,mandel scientific,10
four. labo,Seal teflon-P20,1,GF-61818-1,,,mandel scientific,10
four. labo,Tip-Holder-p10,1,GF-F161831/1,,,mandel scientific,37
four. labo,Trio pipette stand,,F161405,,Gilson,mandel scientific,93
four. labo,tubes sorvall for rotor,,06752,,Mandel,mandel scientific,197
four. labo,"Tubing pump, 1.52 mm",12,GA-F117942,,,mandel scientific,50
anticorps&autres,Pfu DNA polymerase,500 u,EP0572,,MBI Fermentas,MBI Fermentas,420
anticorps&autres,"Akt/PKB [pS473], Alexa Fluor® 488 Conjugate",100ul,44-622A1,,,medicorp,341
anticorps&autres,Annexin V FITC conjugate (recombinant),,PHN1008,,BioSource,medicorp,351
anticorps&autres,antiVav1 (pY160) phosphospecific antibody,100ul,44-482,,,medicorp,395
anticorps&autres,Corticosterone Elisa KIT,96 well microplate,402810,,,medicorp,353
anticorps&autres,IL1 beta ,25 ug,PHC0816,,BioSource,medicorp,1238
anticorps&autres,Interferon alpha A,100000,PMC4016,,,medicorp,346
anticorps&autres,KGF,10µg,PHG0094,,BioSource,medicorp,250
anticorps&autres,Rabbit anti mouse IFN gamma,20000,AMC4034,,,medicorp,326
anticorps&autres,recombinant human IL-21,10mg,PHC0214,,,medicorp,234
anticorps&autres,recombinant human IL-6,5 ug,PHC0064,,,medicorp,157
anticorps&autres,Recombinant mouse IL-7,5µg,PMC0075,,BioSource,medicorp,176
anticorps&autres,Recombinant murine GM CSF,10ug,PMC2015,,,medicorp,291
anticorps&autres,rh AnnexinV/FITC 100 tests,kit,BMS 306FI/100T,,,medicorp,333
anticorps&autres,2 ml Anti-Biotin MicroBeads which is in CD4+ T cell Isolation Kit II,,130-090-485,,,miltenyi biotec,495
anticorps&autres,Annexin V microbead kit,,130-090-201,,,miltenyi biotec,530
anticorps&autres,anti-CD27 microbeads,,130-051-601,,,miltenyi biotec,355.5
anticorps&autres,AutoMACS Bottle Extension Set,1 Kit,130-090-334,,,miltenyi biotec,160
anticorps&autres,Capture Assay IFNg,,130-090-762,,,miltenyi biotec,560
anticorps&autres,Capture Assay IL-2,,130-090-763,,,miltenyi biotec,560
anticorps&autres,CD 8 Isolation,,130-053-201,,,miltenyi biotec,530
anticorps&autres,CD14 microbeads,2ML,130-050-201,,,miltenyi biotec,477
anticorps&autres,"CD14 MicroBeads,human 2ml",,120-000-305,,,miltenyi biotec,477
anticorps&autres,CD34 progenitor cell isolation kit,2ml,130-046-701,,,miltenyi biotec,530
anticorps&autres,CD4 Microbeads,2 ml,130-045-101,,,miltenyi biotec,445.5
anticorps&autres,"CD4+ T Cell Isolation Kit II, human",,130-091-155,,,miltenyi biotec,531
anticorps&autres,CD45R (B220) Microbeads,2 ml,130-049-501,,,miltenyi biotec,530
anticorps&autres,CD8 Microbeads,2 ml,130-045-201,,,miltenyi biotec,445
anticorps&autres,"CD8+ T Cell Isolation Kit II, human",,130-091-154,,,miltenyi biotec,531
anticorps&autres,CD90 (Thy1.2) Microbeads,2 ml,130-049-101,,,miltenyi biotec,531
anticorps&autres,Colonnes Automacs,10 par boite,130-021-101,,,miltenyi biotec,595
anticorps&autres,Dead Cell Removal Kit ,1 kit,130-090-101,,,miltenyi biotec,299
anticorps&autres,IFN-g Secretion Assay - Detection Kit (FITC),,130-090-433,,,miltenyi biotec,495
anticorps&autres,Memory CD4+ T Cell Isolation Kit,1 kit,130-091-893,,,miltenyi biotec,595
anticorps&autres,Mouse CD45 microbeads,1 kit,130-052-301,,,miltenyi biotec,530
anticorps&autres,Naive CD4+ T Cell isolation kit,1 kit,130-091-894,,,miltenyi biotec,595
anticorps&autres,"pan T cell isolation kit II, human",kit,130-091-156,,,miltenyi biotec,596
anticorps&autres,Streptavidin Microbeads,2 ml,120-000-286,,,miltenyi biotec,477
anticorps&autres,Streptavidin microbeads,,130-048-101,,,miltenyi biotec,530
anticorps&autres,TNF alpha secretion assay cell enrichment and detection kit,50 test,130-091-269,,,miltenyi biotec,675
anticorps&autres,"TNF-a Secretion Assay - Detection Kit (APC), human",,130-091-267,,,miltenyi biotec,560
anticorps&autres,PIM2 C-term Antibody,0.1 mg, AP7933a,,,biolynx,190
anticorps&autres,100 bp DNA ladder,250 ug,N3231L,,,NEB,232
anticorps&autres,Afl Ii,2000 U,R0520S,,,NEB,75
anticorps&autres,Age I,100 u,R0552S,,,NEB,82.5
anticorps&autres,Alkaline Phosphatase CIP,1000 u,M0290S,,,NEB,74.25
anticorps&autres,ant-FADD,,2782,,,NEB,210
anticorps&autres,Anti -Pak,,2602,,,NEB,240
anticorps&autres,anti-Bim,100 ul,4582,,,NEB,240
anticorps&autres,ApaL 1,12500 unite,R0507L,3010582,GRM,NEB,352
anticorps&autres,Asc I,500 u,R0558S,,,NEB,82.5
anticorps&autres,Avr II,0.125ml,R0174L,,,NEB,315
anticorps&autres,Avr II,100 u,R0174S,,,NEB,90
anticorps&autres,Bcl-xL (54H6) Rabbit mAb,,2764,,Cell Signaling,NEB,280
anticorps&autres,Blp I,500 u,R0585S,,,NEB,90
anticorps&autres,BsrG I,1000 u,R0575S,,,NEB,58
anticorps&autres,Caspase-3 Antibody,100 ul,9662,,,NEB,135
anticorps&autres,Deep Vent DNA polymerase,1000 u,M0258L,,,NEB,480
anticorps&autres,Dpn I,1000 u,R0176S,3018855,GRM,NEB,82.5
anticorps&autres,EcoN I,1000 u,R0521S,,,NEB,62
anticorps&autres,ERM (ezrin radixin moesin) antibody,0.1ml,3142,,Cell Signaling,NEB,175
anticorps&autres,FKHRL1 Antibody,,9467,,,NEB,240
anticorps&autres,Hinc II,1000 u,R0103S,,,NEB,75
anticorps&autres,IkB-alpha antibody,100ul,9242,,Cell Signaling,NEB,240
anticorps&autres,Mfe I,500 u,R0589S,,,NEB,90
anticorps&autres,Nco I,1000 u,R0193S,,,NEB,67.5
anticorps&autres,Nde I,4000 u,R0111S,,,NEB,82.5
anticorps&autres,Nhe I,1000 u,R0131S,52073,GRM,NEB,89
anticorps&autres,Pac I,1250 u,R0547L,,,NEB,88
anticorps&autres,Pac I,1250 u,R0547L,,,NEB,330
anticorps&autres,Pac I,250 u,R0547S,,,NEB,82.5
anticorps&autres,pflM I,,R0509S,,,NEB,82.5
anticorps&autres,phospho ERM (ezrin radixin moesin) antibody,0.1ml,3141S,,Cell Signaling,NEB,290
anticorps&autres,phospho Gab2 (Tyr 452),liquid,3881S,,Cell Signaling,NEB,300
anticorps&autres,Phospho -Pak,,2605,,,NEB,400
anticorps&autres,Phospho-Akt (Ser473) (193H12) Rabbit mAb (Alexa Fluor® 647 Conjugate),,2337,,Cell Signaling,NEB,342
anticorps&autres,Phospho-Akt (Thr308) (244F9) Rabbit mAb,,4056S,,Cell Signaling,NEB,250
anticorps&autres,Phospho-FKHRL1 (ser 253),100ul,9466S,,,NEB,400
anticorps&autres,Phospho-NF-KappaB P65 Rabit mab,50test,4886,,Cell Signaling,NEB,342
anticorps&autres,Pme I,500 u,R0560S,88663,GRM,NEB,90
anticorps&autres,Pml I ,2000 u,R0532S,,,NEB,58
anticorps&autres,SacII,2000U,R0157S,52080,GRM,NEB,72
anticorps&autres,Spe I,500 u,R0133S,,,NEB,74.25
anticorps&autres,T4 DNA Ligase,100 000 U,M0202L,,,NEB,384
anticorps&autres,T4 DNA ligase,20000 units,M0202S,,,NEB,96
anticorps&autres,ThermoPol Reaction Buffer Pack,,B9004S,,,NEB,15
anticorps&autres,PhiPhiLux,30 tests,A304R1G-3,,,oncoimmunin ,402
anticorps&autres,phiphilux,boite de 8 tubes,A304R1G-6,,,oncoimmunin ,500
four. labo,"Film  X-Omat- Blue, 8x10.",100,NEF596001,1776699,,perkin elmer,219
four. labo,Film X-Omat AR - 8x10.,50,1651454001,,,perkin elmer,242
four. labo,azote liquide,1bonbonne,MLC230-22,,,praxair,113.09
anticorps&autres,Anti-His Antibody Selector Kit ,kit,34698,,,Qiagen,107
anticorps&autres,DNeasy tissue Kit,250 reaction / Boît,69506,,,Qiagen,620
anticorps&autres,Oligotex Direct mRNA Mini Kit (12),kit,72022,3008791,GRM,Qiagen,358
anticorps&autres,Paxgene Blood RNA tube,100 tubes,762115,,,Qiagen,920
anticorps&autres,Plasmid maxi kit,25 colonnes,12163,,,Qiagen,548
anticorps&autres,Plasmid midi kit,,12143,,,Qiagen,261
anticorps&autres,QIAamp DNA Blood MIDI Kit (20),20 preps,51183,,,Qiagen,178
anticorps&autres,Qiagen Kit midi,,12145,,,Qiagen,961
anticorps&autres,QIAGEN Plasmid Mega Kit (25),25 purifications,12183,,,Qiagen,1230
anticorps&autres,QIAprep,Kit,27104,,,Qiagen,89
anticorps&autres,QIAprep Spin Miniprep Kit,250,27106,,,Qiagen,338
anticorps&autres,QIAquick PCR Purification Kit,50,28104,,,Qiagen,107
anticorps&autres,QIAshredder (50),B/50,3007877,79654,GRM,Qiagen,75
anticorps&autres,QIAvac 96 Vacuum Manifold,Kit,19504,,,Qiagen,586
anticorps&autres,QuantiTect SYBR Green PCR Kit (200),for 200 reactions,204143,,,Qiagen,431.2
anticorps&autres,Quiamp viral RNA mini kit,50,52904,,,Qiagen,234
anticorps&autres,Quiashredder (50),,79654,3007877,GRM,Qiagen,73
anticorps&autres,Quifilter plasmid maxi kit,25,12263,,,Qiagen,558
anticorps&autres,R.E.A.L. Prep 96 Plasmid Kit (4),4 plaques,26171,,,Qiagen,761
anticorps&autres,RNase-Free DNase Set (50),50,79254,,,Qiagen,85
anticorps&autres,RNeasy mini kit,50,3007878,74104,GRM,Qiagen,269
anticorps&autres,RNeasy Mini Kit (50) ,50,74104,,,Qiagen,240
anticorps&autres,Small Spin columns ,,79523,,,Qiagen,150
anticorps&autres,Anti DIG AP Fab fragment,200µl/150,1093274,,,roche diagnostics,181
anticorps&autres,CDP Star,1 ml,1685627,,,roche diagnostics,278
anticorps&autres,Cocktail d'inhibiteurs de proteases Complete ,20pilules,1 697 498,,,roche diagnostics,195
anticorps&autres,Collagenase D,0.5g,1088866,3017569,GRM,roche diagnostics,199
anticorps&autres,Dispase I,10*5 mg,"11,284,908",,,roche diagnostics,302
anticorps&autres,DOTAP,2 ml,"11,202,375",,,roche diagnostics,397
anticorps&autres,Expand High fidelity PCR,,1732650,,,roche diagnostics,467
anticorps&autres,leupeptin,5,1017101,,,roche diagnostics,93
anticorps&autres,Light cycler DNA master hybridization probes,,2158825,,,roche diagnostics,960
anticorps&autres,LightCycler Capillairies,768test,1909339,3002089,GRM,roche diagnostics,544.95
anticorps&autres,Ligth Cycler Faststart DNA Master SYBR Green I,480 reaction / Boît,2239264,,,roche diagnostics,1276
anticorps&autres,Perfabloc,100,1429868,,,roche diagnostics,165
anticorps&autres,Protease inibitors set,,1206893,,,roche diagnostics,354
anticorps&autres,pwo DNA polymerase,,1644947,,,roche diagnostics,89.25
anticorps&autres,TeloTAGGG Telomerase PCR ELISA plus,kit,"12,013,789",,,roche diagnostics,1373
anticorps&autres,A1 (FL-175) *,1ml,SC8351,,,santa cruz biotechnology ,230
anticorps&autres,anti-CD45RO (UCH-L1),,sc-1183,,,santa cruz biotechnology ,230
anticorps&autres,anti-FADD (H-181),,sc5559,,,santa cruz biotechnology ,230
anticorps&autres,anti-fas (B10),,sc-8009,,,santa cruz biotechnology ,230
anticorps&autres,anti-Goat IgG-HRP antibody,200 ug,sc-2020,,,santa cruz biotechnology ,60
anticorps&autres,Anti-MKP-3 (C-20),,sc-8599,,,santa cruz biotechnology ,287
anticorps&autres,Anti-Notch-1 antibody,200 ug,sc-6014-R,,,santa cruz biotechnology ,230
anticorps&autres,Cathysin D(C-20) polyclonal,,SC-6486,,,santa cruz biotechnology ,230
anticorps&autres,caveolin-1 (N-20),,sc-894,,,santa cruz biotechnology ,230
anticorps&autres,CIITA (7-1H),200 ug,sc-13556,,,santa cruz biotechnology ,230
anticorps&autres,CIITA (A-19),200 ug,sc-9868,,,santa cruz biotechnology ,230
anticorps&autres,GADD 45&#945; (C-4),200ug,sc-6850,,,santa cruz biotechnology ,285.2
anticorps&autres,Gfi-1 (N-20),,sc-8558,,,santa cruz biotechnology ,285.2
anticorps&autres,Goat,200,sc-2006,,,santa cruz biotechnology ,60
anticorps&autres,HLA-DR alpha (F19),200 ug,sc-14550,,,santa cruz biotechnology ,230
anticorps&autres,Mouse monoclonal anti c-Myc tag 9E10 agarose conjugate ,500 ug/0.25 ml,sc-40 AC,,,santa cruz biotechnology ,265
anticorps&autres,Mouse monoclonal anti-TRAF6 D-10 antibody (Ian),200 ug/ml,sc-8409,,,santa cruz biotechnology ,230
anticorps&autres,mouse monoclonal IgG1 granzyme B (2C5) antibody,200 ug/ ml,SC-8022,,,santa cruz biotechnology ,230
plastique,Base pour plateau de tube PCR 0.2 ml,1 boite de 5,95-988-001,,,Sarstedt,48
plastique,"Cardbord box, 0.5ml, 100 mtubes",,95-064-923,,,Sarstedt,4
plastique,"Filtre entonnoir 500 ml, 0.22 microns",12/caisse,83-1823-101,,,Sarstedt,86
plastique,"Micro tubes 0,5 ul",,72-730-105,,,Sarstedt,218.65
plastique,"micro-tube 1.5 ml ,PP,avec visse",1000,72-692-005,3008806,GRM,Sarstedt,160
plastique,Microtubes 2 ml cryovials,100/sac,72-694-006,50240,GRM,Sarstedt,18
plastique,microvette,pk/50,20-1288-100,3025393,GRM,Sarstedt,26.21
plastique,Pipette tip 10 ul avec boite,pk/960,70-1130-100,,,Sarstedt,46.2
plastique,Pipettes 10 ml,cs/500,86-1254-001,ca53300-523,VWR,Sarstedt,88
plastique,Pipettes 25 ml,cs/200,86-1685-001,3021999,GRM,Sarstedt,98
plastique,Pipettes 5 ml,,86-1253-001,,,Sarstedt,90
plastique,Plateau pour tubes PCR 0.2 ml,boite de 5,95-987-002,,,Sarstedt,13
plastique,Push Cap,10000/Caisse,65-809,,,Sarstedt,188
four. labo,sac autoclavable,bte100,86-1197,,,Sarstedt,11.5
plastique,strip of 8 PCR caps ,,65-986-002,,,Sarstedt,20
plastique,Table rack for disposal bags 200 X 300 mm,,95-1297,,,Sarstedt,20
plastique,Tip Gilson 10ul,500/sac,70-1131,,,Sarstedt,15.3
plastique,Tips 10 micolitres,480\sac,70-1130-410,,,Sarstedt,33.2
plastique,Tips 200 microlitres,480\sac,70-760-411,,,Sarstedt,33.2
plastique,Tips avec fitre P20,480/sacs,70-760-413,3017716,GRM,Sarstedt,34.79
plastique,Tips bleu,5000/Caisse,70-762,,,Sarstedt,72.5
plastique,Tips jaunes,1000/boite,70-760-002,50010,GRM,Sarstedt,10.48
plastique,Tubes 15 ml,caisse 500,62-554-002,,,Sarstedt,90
plastique,Tubes Eppendorf 0.2 ml,250,72-737,,,Sarstedt,119.6
plastique,Tubes Eppendorf 1.5ml,5000/cs,72.690,,,Sarstedt,120
plastique,Tubes gradués 50 m,200/bte,62-547-004,ca21008-951,VWR,Sarstedt,36.2
plastique,Tubes Multiply-Pro 0.5 ml 72.735,1000/boite,72-735,,,Sarstedt,92
plastique,Tubes with conical base,2000/ Caisse,57-477,,,Sarstedt,114.5
anticorps&autres,2-Mercaptoethanol ,25ml,M7154,,,sigma-aldrich,16.4
anticorps&autres,4-hydroxytamoxifen,,H7904,,,sigma-aldrich,81
anticorps&autres,5-Bromo-2-deoxyuridine,5g,B5002,,,sigma-aldrich,250
anticorps&autres,Acetic Anhydride,200 ml,A6404,,,sigma-aldrich,22.8
anticorps&autres,acetone hplc grade 99.9% ,1L,270725,,,sigma-aldrich,35.8
anticorps&autres,Ampicillin,5 g,A0166,,,sigma-aldrich,69.1
anticorps&autres,Antibiotique G418,5 g,A1720,,,sigma-aldrich,190
anticorps&autres,Avidin,5 ml bottle,A9207,,,sigma-aldrich,310.9
anticorps&autres,Beta-Cyclodextrin,5g,C4805,,,sigma-aldrich,25.9
anticorps&autres,Brefeldin A,25mg,B7651,,,sigma-aldrich,545
anticorps&autres,BSA protein standard,1 mL / 5AMP,P0914,,,sigma-aldrich,28.6
anticorps&autres,CelLytic IB,25 ml,C5236,,,sigma-aldrich,49
anticorps&autres,CHAPS,1g,C3023,,,sigma-aldrich,38.5
anticorps&autres,cholera toxin HRP,,C4672,,,sigma-aldrich,313
anticorps&autres,Collagenase D,100mg,C2674,,,sigma-aldrich,35
anticorps&autres,concanavalin A,5mg,C5275,,,sigma-aldrich,38
anticorps&autres,crystal violet,25,229288,,,sigma-aldrich,22
anticorps&autres,d-Biotin,1g,B4501,,,sigma-aldrich,56.3
anticorps&autres,Dimethyl sulfoxide (DMSO),,D8779,154938,,sigma-aldrich,92
anticorps&autres,DME Medium-high glucose,500ml,D1145,,,sigma-aldrich,25.2
anticorps&autres,DMEM,500 ml/ Bouteille,6429,,,sigma-aldrich,5
anticorps&autres,DMEM,500 ml,D6429,,,sigma-aldrich,5
anticorps&autres,DMSO HYBRI-MAX,100 ml,D2650,,,sigma-aldrich,0
anticorps&autres,EGTA,10G,E0396,,,sigma-aldrich,124.5
anticorps&autres,Eosin B solution  0.1% aqueous solution,100 ml,2853,,,sigma-aldrich,30.5
anticorps&autres,Etoposide,25 mg,E1383,,,sigma-aldrich,57
anticorps&autres,E-Toxate,20 test,E8779,,,sigma-aldrich,138
anticorps&autres,Extravidin-FITC,1 ml,E2761,,,sigma-aldrich,125.5
anticorps&autres,extravidin-PE,1 ml,E4011,,,sigma-aldrich,74.6
anticorps&autres,Folic acid ,5gm,F8798,,,sigma-aldrich,25
anticorps&autres,Formaldehyde 37%,500 ml,F1268,252549,,sigma-aldrich,71.6
anticorps&autres,glutathione,1*25g,G6013,,,sigma-aldrich,172.2
anticorps&autres,glutathione oxized form,1*5g,G4501,,,sigma-aldrich,387.8
anticorps&autres,Glycerol,1 L,G5516,,,sigma-aldrich,90
anticorps&autres,H2O2,,H1009,,,sigma-aldrich,33.7
anticorps&autres,HABA Avidire Reagent,,H2153,,,sigma-aldrich,36.6
anticorps&autres,Hematoxylin solution according to Mayer,100 ml,51275,,,sigma-aldrich,30.6
anticorps&autres,Heparin sodium salt from porcine intestinal mucosa,25 KU,H9399,,,sigma-aldrich,22
anticorps&autres,HEPES,100g,H3375,,,sigma-aldrich,56.4
anticorps&autres,Hexadimethrine bromide (polybrene),10G,H9268,,,sigma-aldrich,44.6
anticorps&autres,Histodenz ,100g,D2158,,,sigma-aldrich,264.7
anticorps&autres,Horse Serum ,100 ml botlle,H1270,,,sigma-aldrich,26
anticorps&autres,Human serum type AB ,100 ml,H4522,,,sigma-aldrich,177.18
anticorps&autres,inositol ,100 gm,I6652,,,sigma-aldrich,29
anticorps&autres,Interleukin-4 human recombinant IL4,5ug,I4269,,,sigma-aldrich,163.52
anticorps&autres,Ionomycin calcium salt from Streptomyces conglobatus ,1mg,I0634,,,sigma-aldrich,118
anticorps&autres,Iscove,500ml,13390,,,sigma-aldrich,30.4
anticorps&autres,Iscove's  Modified Dubelccco's Medium,500ml,I3390,,,sigma-aldrich,29.5
anticorps&autres,Jumpstart Ready Mix for quantitative PCR,400 rxns,D7440,,,sigma-aldrich,749
anticorps&autres,L-Arginine,1 Kg,A5131,,,sigma-aldrich,165
anticorps&autres,L-Arginine,100 g,A8094,,,sigma-aldrich,51.3
anticorps&autres,Latrunculin B from Latruncula magnifica,1 MG,L5288,,,sigma-aldrich,186.8
anticorps&autres,L-Glutathione,10 g,G4251,49741,,sigma-aldrich,56.6
anticorps&autres,"Lipopolysaccharide from E. coli, Serotype",100mg,L4005,,,sigma-aldrich,120.5
anticorps&autres,lipoprotein deficient serum from fetal calf ,50 ml,S5394,,,sigma-aldrich,423.7
anticorps&autres,Maleic acid,500 gr,M0375,,,sigma-aldrich,30
anticorps&autres,menadione,25 g,M5625,,,sigma-aldrich,31.5
anticorps&autres,methyl cellulose,100 g,M0512,,,sigma-aldrich,33
anticorps&autres,methyl-b-cyclodextrin ,5g,C4555,,,sigma-aldrich,164.8
anticorps&autres,Mifepristone (RU486),100mg,M8046,,,sigma-aldrich,67.1
anticorps&autres,Minimim essential Medium Eagle,500ML,M2279,,,sigma-aldrich,4.25
anticorps&autres,Minimum essential medium eagle Joklik,500ml,M8028,,,sigma-aldrich,8.5
anticorps&autres,Monensin Sodium,5G,M5273,,,sigma-aldrich,253.1
anticorps&autres,Monoclonal Anti-b-Actin,0.2ml,A5441,,,sigma-aldrich,320.2
anticorps&autres,Monoclonal Anti-p130 antibody produced in mouse,0.1mg,P4485,,,sigma-aldrich,302
anticorps&autres,"Mouse Anti-FLAG® Monoclonal Antibody, FITC Conjugated",0.2 mg,F4049,,,sigma-aldrich,336.5
anticorps&autres,Natural rubber septa (9 or 10mm) ,sac de 100,Z100730,,,sigma-aldrich,46.7
anticorps&autres,N-octyl glucoside,100mg,O8001,,,sigma-aldrich,23.6
anticorps&autres,Nystatin,5000000 units,N6261,,,sigma-aldrich,43.5
anticorps&autres,octylb-d-glucopyranoside,250mg,O9882,,,sigma-aldrich,63.7
anticorps&autres,PBS  1X,,D8537,,,sigma-aldrich,3.95
anticorps&autres,PBS 10X,500ml,D1408,,,sigma-aldrich,3.95
